name,audio,ns_code,nivel_socioeco,corpus,parse_status,dataset_dir,file,path,Tipo,Precisión,Recall,F1-score,support_true,support_pred,n,status
Gaell,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,Gaell-a1-nsb_results.csv,outputs\results_raw_ROS-master\Gaell-a1-nsb_results.csv,FEM,0.25861918477786505,0.15067378591406053,0.19041192725403253,39330.0,22914.0,180000,ok
Gaell,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,Gaell-a1-nsb_results.csv,outputs\results_raw_ROS-master\Gaell-a1-nsb_results.csv,KCHI,0.12604994644568465,0.0817281333382068,0.09916182535810901,27359.0,17739.0,180000,ok
Gaell,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,Gaell-a1-nsb_results.csv,outputs\results_raw_ROS-master\Gaell-a1-nsb_results.csv,MAL,0.1384083044982699,0.0035786711201240607,0.00697694700427338,33532.0,867.0,180000,ok
Gaell,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,Gaell-a1-nsb_results.csv,outputs\results_raw_ROS-master\Gaell-a1-nsb_results.csv,OCH,0.0,0.0,0.0,0.0,0.0,180000,ok
Gaell,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,Gaell-a1-nsb_results.csv,outputs\results_raw_ROS-master\Gaell-a1-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
alma,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,alma-a1-nsb_results.csv,outputs\results_raw_ROS-master\alma-a1-nsb_results.csv,FEM,0.5927699980276689,0.6136211171066064,0.6030153634487503,34285.0,35491.0,180000,ok
alma,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,alma-a1-nsb_results.csv,outputs\results_raw_ROS-master\alma-a1-nsb_results.csv,KCHI,0.5523575755176373,0.7682819383259912,0.6426679564246067,18160.0,25259.0,180000,ok
alma,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,alma-a1-nsb_results.csv,outputs\results_raw_ROS-master\alma-a1-nsb_results.csv,MAL,0.4127586518478359,0.4386824162105061,0.42532588454376163,20826.0,22134.0,180000,ok
alma,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,alma-a1-nsb_results.csv,outputs\results_raw_ROS-master\alma-a1-nsb_results.csv,OCH,0.0,0.0,0.0,2868.0,0.0,180000,ok
alma,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,alma-a1-nsb_results.csv,outputs\results_raw_ROS-master\alma-a1-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
amparol,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,amparol-a1-nsb_results.csv,outputs\results_raw_ROS-master\amparol-a1-nsb_results.csv,FEM,0.7055875255244106,0.40535352458142265,0.5149011108100786,65639.0,37709.0,180000,ok
amparol,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,amparol-a1-nsb_results.csv,outputs\results_raw_ROS-master\amparol-a1-nsb_results.csv,KCHI,0.7934118861271179,0.43932755500523857,0.5655172413793104,20998.0,11627.0,180000,ok
amparol,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,amparol-a1-nsb_results.csv,outputs\results_raw_ROS-master\amparol-a1-nsb_results.csv,MAL,0.608433734939759,0.24803287726156467,0.35240502723679995,39906.0,16268.0,180000,ok
amparol,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,amparol-a1-nsb_results.csv,outputs\results_raw_ROS-master\amparol-a1-nsb_results.csv,OCH,0.0,0.0,0.0,667.0,0.0,180000,ok
amparol,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,amparol-a1-nsb_results.csv,outputs\results_raw_ROS-master\amparol-a1-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
angelinap,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,angelinap-a1-nsm_results.csv,outputs\results_raw_ROS-master\angelinap-a1-nsm_results.csv,FEM,0.6536298025896837,0.5908142463125075,0.6206366602421173,41695.0,37688.0,180000,ok
angelinap,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,angelinap-a1-nsm_results.csv,outputs\results_raw_ROS-master\angelinap-a1-nsm_results.csv,KCHI,0.5574396942918557,0.7176018447348194,0.6274615229518112,6505.0,8374.0,180000,ok
angelinap,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,angelinap-a1-nsm_results.csv,outputs\results_raw_ROS-master\angelinap-a1-nsm_results.csv,MAL,0.3406640333084232,0.6416649909511362,0.44504881450488143,9946.0,18734.0,180000,ok
angelinap,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,angelinap-a1-nsm_results.csv,outputs\results_raw_ROS-master\angelinap-a1-nsm_results.csv,OCH,0.0,0.0,0.0,0.0,0.0,180000,ok
angelinap,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,angelinap-a1-nsm_results.csv,outputs\results_raw_ROS-master\angelinap-a1-nsm_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
dantec,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,dantec-a1-nsm_results.csv,outputs\results_raw_ROS-master\dantec-a1-nsm_results.csv,FEM,0.6286735640875812,0.5553699936234172,0.5897526843581724,32933.0,29093.0,180002,ok
dantec,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,dantec-a1-nsm_results.csv,outputs\results_raw_ROS-master\dantec-a1-nsm_results.csv,KCHI,0.735448733128108,0.6326231311361877,0.680171696377732,24547.0,21115.0,180002,ok
dantec,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,dantec-a1-nsm_results.csv,outputs\results_raw_ROS-master\dantec-a1-nsm_results.csv,MAL,0.4887011332394555,0.4790324700933351,0.48381850167623724,15214.0,14913.0,180002,ok
dantec,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,dantec-a1-nsm_results.csv,outputs\results_raw_ROS-master\dantec-a1-nsm_results.csv,OCH,0.0,0.0,0.0,0.0,0.0,180002,ok
dantec,a1,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,dantec-a1-nsm_results.csv,outputs\results_raw_ROS-master\dantec-a1-nsm_results.csv,SIL,,,,,,180002,missing_cols: Elan_SIL Diar_SIL
lisandroh,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lisandroh-a2-nsm_results.csv,outputs\results_raw_ROS-master\lisandroh-a2-nsm_results.csv,FEM,0.5467564433776114,0.7008239465999165,0.6142770623121665,38352.0,49159.0,180000,ok
lisandroh,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lisandroh-a2-nsm_results.csv,outputs\results_raw_ROS-master\lisandroh-a2-nsm_results.csv,KCHI,0.37336570788195744,0.7343864805290228,0.49504705299653295,5444.0,10708.0,180000,ok
lisandroh,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lisandroh-a2-nsm_results.csv,outputs\results_raw_ROS-master\lisandroh-a2-nsm_results.csv,MAL,0.5018822938888192,0.13826183150689667,0.21679856895056374,57854.0,15938.0,180000,ok
lisandroh,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lisandroh-a2-nsm_results.csv,outputs\results_raw_ROS-master\lisandroh-a2-nsm_results.csv,OCH,0.0,0.0,0.0,0.0,0.0,180000,ok
lisandroh,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lisandroh-a2-nsm_results.csv,outputs\results_raw_ROS-master\lisandroh-a2-nsm_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
lucior,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lucior-a2-nsm_results.csv,outputs\results_raw_ROS-master\lucior-a2-nsm_results.csv,FEM,0.6774716369529984,0.6709470304975923,0.6741935483870968,57939.0,57381.0,180000,ok
lucior,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lucior-a2-nsm_results.csv,outputs\results_raw_ROS-master\lucior-a2-nsm_results.csv,KCHI,0.6236191478169385,0.5736752963948706,0.5976055450535602,20665.0,19010.0,180000,ok
lucior,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lucior-a2-nsm_results.csv,outputs\results_raw_ROS-master\lucior-a2-nsm_results.csv,MAL,0.7104818258664413,0.18371584699453553,0.29194164640500175,36600.0,9464.0,180000,ok
lucior,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lucior-a2-nsm_results.csv,outputs\results_raw_ROS-master\lucior-a2-nsm_results.csv,OCH,0.0,0.0,0.0,12361.0,0.0,180000,ok
lucior,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,lucior-a2-nsm_results.csv,outputs\results_raw_ROS-master\lucior-a2-nsm_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
manuelc,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,manuelc-a2-nsm_results.csv,outputs\results_raw_ROS-master\manuelc-a2-nsm_results.csv,FEM,0.6042673107890499,0.6601671309192201,0.6309815736005044,6821.0,7452.0,180000,ok
manuelc,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,manuelc-a2-nsm_results.csv,outputs\results_raw_ROS-master\manuelc-a2-nsm_results.csv,KCHI,0.6025624921492275,0.6151577327519877,0.6087949743003997,7798.0,7961.0,180000,ok
manuelc,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,manuelc-a2-nsm_results.csv,outputs\results_raw_ROS-master\manuelc-a2-nsm_results.csv,MAL,0.0,0.0,0.0,7991.0,141.0,180000,ok
manuelc,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,manuelc-a2-nsm_results.csv,outputs\results_raw_ROS-master\manuelc-a2-nsm_results.csv,OCH,0.0,0.0,0.0,44.0,0.0,180000,ok
manuelc,a2,nsm,medio,raw_ROS,ok,outputs\results_raw_ROS-master,manuelc-a2-nsm_results.csv,outputs\results_raw_ROS-master\manuelc-a2-nsm_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
ummaq,a2,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,ummaq-a2-nsb_results.csv,outputs\results_raw_ROS-master\ummaq-a2-nsb_results.csv,FEM,0.5083863660878006,0.5062159331954998,0.5072988281512775,37243.0,37084.0,180000,ok
ummaq,a2,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,ummaq-a2-nsb_results.csv,outputs\results_raw_ROS-master\ummaq-a2-nsb_results.csv,KCHI,0.7036636156144851,0.841920045045045,0.7666081339160974,35520.0,42499.0,180000,ok
ummaq,a2,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,ummaq-a2-nsb_results.csv,outputs\results_raw_ROS-master\ummaq-a2-nsb_results.csv,MAL,0.29381443298969073,0.303595206391478,0.29862475442043224,4506.0,4656.0,180000,ok
ummaq,a2,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,ummaq-a2-nsb_results.csv,outputs\results_raw_ROS-master\ummaq-a2-nsb_results.csv,OCH,0.0,0.0,0.0,8649.0,0.0,180000,ok
ummaq,a2,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,ummaq-a2-nsb_results.csv,outputs\results_raw_ROS-master\ummaq-a2-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
valentinos,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,valentinos-a1-nsb_results.csv,outputs\results_raw_ROS-master\valentinos-a1-nsb_results.csv,FEM,0.3239659862488487,0.5815518302060905,0.4161221542059289,26008.0,46687.0,180000,ok
valentinos,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,valentinos-a1-nsb_results.csv,outputs\results_raw_ROS-master\valentinos-a1-nsb_results.csv,KCHI,0.5067402443831297,0.7025904470433927,0.5888064486580562,9149.0,12685.0,180000,ok
valentinos,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,valentinos-a1-nsb_results.csv,outputs\results_raw_ROS-master\valentinos-a1-nsb_results.csv,MAL,0.15622849277357193,0.0711747491638796,0.09779564873985783,19136.0,8718.0,180000,ok
valentinos,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,valentinos-a1-nsb_results.csv,outputs\results_raw_ROS-master\valentinos-a1-nsb_results.csv,OCH,0.0,0.0,0.0,1151.0,0.0,180000,ok
valentinos,a1,nsb,bajo,raw_ROS,ok,outputs\results_raw_ROS-master,valentinos-a1-nsb_results.csv,outputs\results_raw_ROS-master\valentinos-a1-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
biancak,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,biancak-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\biancak-a2-nsb_results.csv,FEM,0.4277693560159452,0.48900869676839637,0.45634368027791505,31161.0,35622.0,180000,ok
biancak,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,biancak-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\biancak-a2-nsb_results.csv,KCHI,0.13659862142099682,0.7982184353214562,0.233276740237691,5164.0,30176.0,180000,ok
biancak,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,biancak-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\biancak-a2-nsb_results.csv,MAL,0.721651376146789,0.06344878764902319,0.11664219938609369,61987.0,5450.0,180000,ok
biancak,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,biancak-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\biancak-a2-nsb_results.csv,OCH,0.0,0.0,0.0,9940.0,0.0,180000,ok
biancak,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,biancak-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\biancak-a2-nsb_results.csv,SIL,,,,,,180000,missing_cols: Elan_SIL Diar_SIL
camilop,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,camilop-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\camilop-a2-nsb_results.csv,FEM,0.6948228882833788,0.08929424123770413,0.15825105782792664,31413.0,4037.0,180000,ok
camilop,a2,nsb,bajo,raw_ROS_HV,ok,outputs\results_raw_ROS_HV-master,camilop-a2-nsb_results.csv,outputs\results_raw_ROS_HV-master\camilop-a2-nsb_results.csv,KCHI,0.5719549641760492,0.4984834968777877,0.532697807435653,5605.0,4885.0,180000,ok
